Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2016-02-08 23:41:35;2016-02-09 06:14:10;67%;0%;;0;2349;Normal;101.9;;49.6;23555.1;21513.6;471.1;2016-02-09 06:00:00;2016-02-09 06:30:00;false;0.0;32.0;No weather;
2016-02-10 00:18:58;2016-02-10 06:11:31;68%;0%;;0;4549;Normal;102.0;;49.6;21152.9;19531.2;423.1;2016-02-10 06:00:00;2016-02-10 06:30:00;false;0.0;32.0;No weather;
2016-02-11 23:47:33;2016-02-12 06:03:08;54%;94%;;0;2558;Normal;102.0;;60.7;22535.7;20357.2;450.7;2016-02-12 06:00:00;2016-02-12 06:30:00;false;0.0;32.0;No weather;
2016-02-13 00:03:54;2016-02-13 06:43:22;61%;93%;;0;6663;Normal;102.0;;60.1;23967.7;21411.2;479.4;2016-02-13 06:15:00;2016-02-13 06:45:00;false;0.0;32.0;No weather;
2016-02-15 23:52:50;2016-02-16 06:27:52;75%;96%;;0;6423;Normal;101.4;;48.4;23701.3;22042.2;474.0;2016-02-16 06:05:00;2016-02-16 06:35:00;false;0.0;32.0;No weather;
2016-02-16 23:59:44;2016-02-17 06:06:09;72%;96%;;0;3190;Normal;100.3;;44.0;21985.2;21545.5;439.7;2016-02-17 05:45:00;2016-02-17 06:15:00;false;0.0;32.0;No weather;
2016-02-18 23:37:39;2016-02-19 06:23:58;79%;95%;;0;2893;Normal;101.5;;43.8;24378.8;23891.2;487.6;2016-02-19 06:10:00;2016-02-19 06:40:00;false;0.0;32.0;No weather;
2016-02-21 22:35:52;2016-02-22 06:13:33;97%;90%;;0;11505;Normal;102.3;;31.1;27461.4;26912.2;549.2;2016-02-22 05:45:00;2016-02-22 06:15:00;false;0.0;32.0;No weather;
2016-02-23 00:04:28;2016-02-23 06:10:15;75%;87%;;0;5463;Normal;101.5;;28.2;21946.8;21507.9;438.9;2016-02-23 06:00:00;2016-02-23 06:30:00;false;0.0;32.0;No weather;
2016-02-23 23:52:05;2016-02-24 06:28:25;70%;91%;;0;3632;Normal;101.6;;43.2;23779.8;21798.2;475.6;2016-02-24 06:00:00;2016-02-24 06:30:00;false;0.0;32.0;No weather;
